idx	C3N-03848	C3L-03272	C3N-02494	C3L-00568	C3L-02625	C3L-00923	C3N-03204	C3N-03093	C3L-01455	C3N-01017	C3L-02627	C3N-03441	C3L-02660	C3L-02963	C3N-02339	C3N-03425	C3L-02650	C3L-02546	C3N-03875	C3N-04162	C3N-02374	C3L-02168	C3N-03877	C3L-01884	C3N-04127	C3N-02435	C3L-02969	C3N-00497	C3L-03962	C3N-04124	C3N-02252	C3N-01846	C3L-02163	C3N-02675	C3L-02964	C3N-02375	C3L-02127	C3L-04013	C3L-02665	C3L-00993	C3N-03882	C3N-00221	C3N-02425	C3L-03963	C3L-04071	C3N-00555	C3L-01000	C3L-02358	C3L-00603	C3L-02130	C3L-02669	C3N-03092	C3N-02575	C3L-02619	C3N-03851	C3L-02552	C3L-02164	C3N-01411	C3N-03486	C3N-02426	C3L-02648	C3L-02349	C3N-02434	C3L-03965	C3L-00904	C3N-03076	C3L-04014	C3N-02523	C3L-02649	C3L-00415	C3N-01020	C3N-01025	C3N-03424	C3L-03961	C3N-01028	C3L-00445	C3L-01285	C3L-02968	C3L-02891	C3N-03880	C3N-02289	C3L-04391	C3L-00927	C3L-01606	C3L-02951	C3L-01663	C3L-00081	C3N-02288	C3N-03051	C3N-01194	C3N-01892	C3N-02285	C3N-01893	C3L-02629
hsa-let-7a-2-3p	0.4776	1.1694	1.4932	1.4108	0.7892	1.5061	1.1896	0.3699	1.2158	0	0.5341	0.3132	0.887	1.0683	1.0562	0.3627	1.2439	0.3957	1.6978	0.8913	0.3611	1.0339	1.9835	1.4871	1.5944	1.1423	0.5133	1.0259	0.5484	0.8001	0.8864	1.1148	0.6119	0.6872	0.3146	0.9068	0.2901	1.0852	1.8809	0.9402	0.6411	0.6563	1.442	0.43	1.7534	0.6906	0.8534	0.4389	0.8271	0.884	1.2369	1.3718	1.0877	0.5993	0.6534	1.1471	1.2236	0.2875	0.6799	0.4534	0.8006	0.6061	0.8403	0.5913	1.0556	0.3965	0.9526	0.4119	1.034	1.0339	1.5232	0.4414	1.172	0.9192	0.6645	0	1.0467	0.8405	1.2455	1.2596	0.8277	0.8465	1.2669	0.1187	0.8227	0.4849	0.6609	0.3669	0.6163	1.4789	1.4028	1.5941	0.5163	0.4759
hsa-let-7a-3p	6.0815	6.3649	6.3409	6.6017	6.4555	6.6625	6.6898	6.2257	6.4693	5.7038	6.4057	5.496	6.555	5.8337	6.1136	6.2331	6.56	6.5257	6.2584	6.7812	6.9706	6.86	6.6346	6.5727	6.555	6.2452	6.2025	6.4672	6.34	6.5045	6.4867	5.9829	6.7367	6.8322	6.5446	6.7579	6.1371	6.1923	6.1448	6.5495	6.1325	6.5431	6.306	6.117	6.3486	6.5237	6.3957	6.4002	5.865	6.6057	6.3198	6.6465	6.7504	5.8873	6.618	6.7486	6.7421	6.8509	6.3729	6.055	6.6282	6.6347	6.1523	6.4466	5.7508	6.6463	6.473	6.4361	6.2289	6.6958	6.5731	6.6535	6.3686	6.5787	6.5069	6.552	5.9575	6.984	6.8793	6.6192	6.7186	6.3567	6.212	5.9114	6.8207	6.2326	6.6117	6.5582	6.6208	6.2171	6.859	6.6462	6.3501	6.5546
hsa-let-7a-5p	16.474	16.4358	16.2381	16.5579	16.5893	16.5867	16.3894	16.6538	16.7492	16.3743	16.1836	16.0222	16.691	16.5324	16.722	16.5005	16.2962	16.9006	16.4186	16.1186	16.6291	16.832	16.4686	16.3578	16.2278	16.1492	16.2788	16.6598	16.5545	16.3819	16.732	16.4253	16.5804	16.7139	16.2521	16.9416	16.3691	16.3622	15.9508	16.5342	16.5725	16.2556	16.6614	16.1755	15.7603	16.5034	16.4807	16.885	16.7493	16.6161	16.1366	16.3222	16.628	16.1803	16.3591	16.8001	16.4089	16.823	16.7302	17.0677	16.728	16.7782	16.8119	16.3902	16.2218	16.6266	16.5728	16.3516	16.2321	16.57	16.5213	16.5465	16.3342	16.5259	16.5088	16.7246	16.5616	16.4803	16.1609	16.2785	16.5083	16.5381	16.4738	16.6026	16.3172	16.3489	16.7376	16.6014	16.3873	16.6796	16.5244	16.5993	16.6267	16.4159
hsa-let-7b-3p	4.8899	5.2093	5.4178	5.1773	5.0084	4.7691	5.4157	5.6935	5.0946	4.7534	5.0893	4.7648	5.3018	4.9145	5.4455	5.7076	5.2516	5.457	5.0838	4.9504	4.9208	5.4256	5.305	5.1229	4.929	5.0283	4.9943	5.1444	5.2928	5.3472	5.7127	4.963	5.2754	5.4114	5.1289	5.2857	4.8722	5.2097	4.7811	5.1452	5.2536	5.4363	5.0661	5.3138	5.3687	5.1448	5.3517	5.9222	5.0583	4.9706	4.9807	5.3641	5.5855	5.0912	5.3726	5.5142	5.061	5.3308	5.7447	5.5912	4.8778	5.19	5.2191	5.0539	4.8355	5.4704	5.1471	4.8894	4.8908	5.4274	5.2331	5.0062	5.4982	5.2971	4.9189	5.1491	4.9783	5.1156	5.0063	4.7599	5.1292	5.0311	5.5142	5.0921	5.3431	4.8003	5.1967	5.5675	5.3184	5.2083	5.22	5.3787	4.6056	5.1129
hsa-let-7b-5p	13.4107	13.121	12.7316	13.2502	13.2749	13.1925	12.9958	13.6891	13.5085	12.8496	12.8581	12.877	13.7383	13.4529	13.5516	13.2226	12.8748	13.8764	13.1845	12.9028	13.5778	13.7669	13.3091	13.2766	12.6613	13.0142	13.3535	13.2612	13.0352	13.1101	13.569	13.0225	12.9869	13.2433	13.0676	13.7012	13.1589	13.0484	12.8502	13.373	13.2951	13.0912	13.389	12.9763	13.0366	13.0262	13.2463	13.9921	13.6669	13.3514	12.9001	13.2451	13.4573	13.5272	13.0955	13.9115	13.1144	13.5038	13.3738	13.9436	13.5692	13.7218	13.595	12.9939	12.9223	13.1842	13.2718	12.9004	13.2412	13.1281	13.4195	13.135	13.4	13.0895	13.0494	13.268	12.9444	12.8199	13.002	12.8658	13.2186	13.1785	13.5001	13.5552	12.8623	12.8692	13.0449	12.9454	13.0116	13.3711	13.2756	13.547	13.2866	13.4057
hsa-let-7c-3p	2.4799	2.1764	2.8112	1.9565	2.608	3.0637	2.8187	2.4798	3.0751	1.07	2.4543	1.2956	3.024	1.9387	3.2134	2.8656	2.7608	2.9462	2.3695	2.8897	3.209	2.5519	2.9116	2.3284	3.309	2.1311	1.6975	3.06	2.9372	2.7018	3.2934	2.6156	1.923	2.5225	2.7234	3.4092	2.6142	2.6489	2.1768	2.55	3.1245	2.4446	2.7579	2.7872	2.9955	2.0783	2.2726	2.9047	2.7252	2.5409	3.1041	2.1037	3.6152	2.0321	3.1732	3.3889	2.5867	1.951	2.1673	2.6108	3.4262	2.3721	2.2059	3.1041	1.9051	3.0762	2.8663	2.4922	2.5025	3.7057	2.4914	2.8246	2.7758	3.3636	2.4296	1.8069	2.1347	2.5868	3.432	2.9398	2.3415	2.6161	2.0406	1.1932	3.2216	2.8057	2.4978	2.6572	2.4811	2.7675	3.139	2.8191	3.0927	2.8584
hsa-let-7c-5p	11.9601	11.3392	11.5469	11.7314	11.457	12.3824	11.3575	12.0588	12.346	11.1481	11.3366	11.0601	12.1039	11.981	12.4951	11.7009	11.655	12.2834	11.7995	11.743	12.5036	12.1839	11.9588	12.0271	11.933	11.1673	11.3766	12.3681	11.7112	11.5062	12.0808	12.252	11.5035	11.5102	11.8375	12.9873	12.0056	11.2494	11.0429	12.029	11.9342	11.4141	11.8566	11.7176	11.1264	11.4536	11.3754	12.0374	11.9054	11.8569	11.7368	11.4069	12.1728	11.631	11.5237	12.8392	11.9443	11.9741	11.6518	12.3089	12.2696	12.2545	12.3553	11.7142	11.8803	11.786	12.2231	11.2627	11.3267	11.9845	11.8293	11.5869	12.3136	11.7915	11.656	11.586	11.7461	11.4576	11.6188	11.5746	11.9139	11.6576	11.2355	11.7172	11.2019	11.8748	11.5356	11.4377	11.4515	12.3593	12.2064	12.2653	11.9531	12.0289
hsa-let-7d-3p	8.4307	8.3879	8.2344	8.258	8.3683	7.8289	8.7296	8.8005	8.3296	8.1206	8.3011	8.2051	8.6571	8.4368	8.4689	8.8139	8.5711	8.8482	8.2932	8.797	8.5927	8.8128	8.2704	8.3026	8.4016	8.228	8.3069	7.998	8.7694	8.4358	8.6607	8.014	8.3303	8.6531	8.3538	8.8001	8.1727	8.4988	8.228	8.0156	8.5167	8.3732	8.4088	8.544	8.6035	8.4166	8.3506	8.8502	8.3049	8.3082	8.2622	8.4445	8.9616	8.4017	8.4985	8.5945	8.1892	8.5808	8.8508	8.9856	8.703	8.6268	8.5594	8.3569	7.6307	9.0362	8.506	8.4063	7.9589	8.5538	8.6825	7.9392	8.2837	8.6396	8.146	8.6967	8.324	8.3011	8.3549	8.2975	8.1573	8.4	8.447	8.4336	8.5732	8.17	8.2388	8.8519	8.5388	8.3287	8.3007	8.1475	8.2492	8.1794
hsa-let-7d-5p	12.0512	11.9079	11.6323	12.1872	12.1751	12.2904	12.2184	12.5379	12.538	12.5157	11.804	11.9493	12.2833	12.3293	12.6103	12.1815	11.9453	12.8093	11.9697	11.6678	12.54	12.605	11.9505	11.8684	11.6652	11.5478	12.0426	12.4002	12.2237	11.9728	12.4766	12.4294	12.3411	12.373	12.1408	12.7074	12.2688	12.033	11.8166	12.2455	12.1241	12.2221	12.6385	11.9381	11.6449	12.5256	12.4094	12.6709	12.5781	12.4448	11.9171	12.0239	12.4523	12.294	11.8669	12.4317	12.1486	12.6264	12.6826	12.8939	12.4371	12.6381	12.6403	12.09	11.8368	12.2976	12.1302	11.9735	11.8583	12.4738	12.4277	12.347	11.8158	12.1154	12.4151	12.6708	12.5789	12.0188	11.9521	11.8015	12.1075	11.9678	12.5861	12.5654	11.9018	12.3561	12.4901	12.4272	12.1535	12.5379	12.2048	12.243	12.476	12.0235
hsa-let-7e-3p	4.242	4.6217	4.4668	4.4274	4.443	4.2595	4.1606	4.4168	4.3529	3.3899	4.0109	3.1506	4.3718	4.0558	4.4429	4.3052	4.1352	4.0483	4.4837	4.2869	4.6124	4.2786	4.6009	4.1748	4.6369	4.0718	4.0896	4.4297	3.6509	4.2798	4.5538	4.3386	4.0083	4.6517	3.6663	4.768	3.8332	3.071	3.3537	3.9967	4.2234	4.0984	3.8932	4.3455	4.33	3.591	4.1652	4.1098	4.2624	4.2097	3.5893	4.024	4.9194	4.0286	4.5038	4.6042	4.432	4.0192	4.109	4.0453	3.7779	4.0766	4.4962	4.3755	3.2073	4.0444	4.2369	3.7842	3.9161	4.6418	3.7677	4.1114	4.6085	4.5329	4.1553	3.5692	3.9842	4.2718	4.7575	4.4734	4.5167	4.2662	3.8031	3.5299	4.1421	3.9616	4.0302	4.1995	4.4238	4.2721	4.6165	4.7136	4.6801	4.3231
