idx	C3L-01663	C3N-03486	C3L-02665	C3L-02163	C3N-03875	C3N-01846	C3N-02375	C3L-02619	C3L-02649	C3N-02339	C3N-02252	C3N-02285	C3N-02288	C3L-02963	C3L-02627	C3L-00568	C3L-02349	C3L-04071	C3N-01893	C3L-00081	C3N-01194	C3L-03961	C3N-01025	C3L-00927	C3L-04391	C3L-00415	C3L-02170	C3N-02300	C3N-03662	C3L-02951	C3N-01028	C3L-02130	C3N-03092	C3N-03424	C3N-04155	C3L-02969	C3L-02127	C3L-02650	C3L-00603	C3L-02625	C3L-01606	C3N-02425	C3N-01892	C3N-03441	C3L-03963	C3L-04014	C3L-00923	C3N-03072	C3L-01285	C3L-02660	C3N-00555	C3L-01000	C3L-02891	C3N-03093	C3N-02374	C3N-03051	C3N-03886	C3N-02675	C3L-04013	C3N-03425	C3L-01838	C3L-03965	C3L-03272	C3L-00993	C3L-00904	C3N-02434	C3L-02669	C3L-00965	C3N-02283	C3L-03678	C3L-02968	C3N-00247	C3L-02164	C3L-02552	C3N-03880	C3N-02435	C3N-03076	C3L-02646	C3N-02523	C3L-02964	C3L-03962	C3L-02629	C3L-02168	C3N-02289	C3N-02426	C3N-02494	C3N-03848	C3L-02546	C3N-00211	C3N-01017	C3N-03204	C3N-00221	C3N-03882	C3N-03851	C3N-02284	C3L-00445	C3L-01455	C3N-04124	C3N-04162	C3L-03961	C3L-01884	C3L-02358	C3N-01411	C3N-01020	C3N-00497	C3N-04127	C3L-02648	C3N-03877
hsa-let-7a-2-3p	0.8065	0	1.0352	0	0.9963	0.4414	0	0.1913	0.9666	1.2215	0.7706	1.1301	0.3355	0.8837	1.0758	0	0.3464	0.3686	0.6939	0.2836	0.9935	1.1742	0	0	0.3526	0	0.8087	1.2453	0.5123	0.7214	0.9488	1.5222	2.9536	1.4352	0.1798	0.4473	0.921	0	0.6948	0.4481	0	0	0.6353	0.1742	0.5225	0.6675	0.8902	0.6303	0	0.8402	0	1.0031	0.5545	1.6988	0.4319	0.1765	0.5553	0.4609	0	0.8554	1.4855	0.1989	1.1921	0.7338	0.3068	0	0.8159	0.6071	1.6295	0.1225	0.3261	0.3577	1.7049	1.5446	0	0	0.168	1.2059	0.5775	0.6242	0.405	0.3083	0.8826	1.2881	0.5636	1.6309	1.5039	0.9004	0.0501	0.3255	0	0.7352	0.2443	0.8995	0.7272	0.1509	0	1.1485	0	1.7369	0.2395	0.102	0.7133	0.7218	0	0.719	0.6711	0
hsa-let-7a-3p	6.9169	7.064	6.481	6.3562	7.3092	6.7261	6.8565	6.7362	6.6836	6.1345	6.2865	7.1301	6.3395	7.2287	6.8063	7.2867	6.7792	6.5638	6.6361	6.2048	7.1163	6.674	6.2138	6.8678	7	6.7326	6.9724	7.3619	6.772	7.3418	6.9445	6.955	6.186	6.9719	6.4185	6.1784	7.3719	6.6275	7.1977	6.1411	6.6803	7.5835	7.2525	6.9018	6.8035	6.9137	6.555	7.2343	6.8489	6.4754	5.9894	6.6484	6.49	6.3344	7.636	7.5146	6.9378	6.667	6.5766	7.675	7.1757	6.651	6.5143	6.3748	6.2856	6.6225	6.4717	6.6346	6.5441	6.9835	6.4322	5.8955	7.0124	6.9818	6.5383	7.0085	7.2446	6.145	7.1121	7.7479	7.2663	6.3968	6.7342	6.9091	7.4714	6.9457	7.5628	7.559	5.9452	6.2511	7.0077	7.1124	6.0834	6.5824	7.4833	7.286	6.5461	6.5836	6.9922	6.8496	6.284	7.2824	6.7861	6.8587	7.1018	6.8402	7.0989	6.5499
hsa-let-7a-5p	15.8306	15.6325	14.6457	15.2625	15.2715	15.5302	15.8017	15.3961	15.797	15.9702	15.6491	15.7573	15.4872	15.9228	15.5066	16.7272	15.8765	15.1353	16.3233	16.4625	15.5893	15.8569	15.4204	15.0384	15.6267	16.6468	15.923	16.164	15.3439	15.8787	15.3565	15.6503	15.0835	15.9742	15.1353	15.1881	15.8407	15.1011	15.8683	15.0971	15.7351	15.8737	15.8424	15.8665	15.6493	15.6115	16.0952	15.7498	15.143	15.8469	14.7096	16.3921	15.2599	14.6316	15.9708	15.534	15.5715	15.6776	15.5404	15.5472	16.2196	15.5114	15.2926	15.0528	15.2817	15.8659	15.3626	15.5501	15.3143	15.5843	15.2543	15.7498	16.4245	16.695	15.3556	15.919	15.4967	15.1353	15.3161	16.0385	15.5609	15.3436	15.8481	15.8818	16.4508	15.4884	15.8283	16.536	15.8767	16.3462	15.0091	15.8741	14.8741	14.7527	15.5707	16.1735	15.8946	15.1227	15.495	15.8043	15.2717	16.2029	15.8448	15.7039	16.8766	15.1273	15.6957	14.8867
hsa-let-7b-3p	5.5149	4.9959	4.1671	3.8288	5.1984	5.3793	4.8232	4.9434	5.4834	4.4796	5.1618	5.4443	4.4897	5.7091	4.9371	5.3859	4.9601	4.9262	5.4203	6.3824	5.5901	5.4803	4.3061	4.2656	5.4506	5.4152	4.6841	5.1952	5.3094	5.3075	4.9792	5.4031	4.1786	5.2249	4.395	5.0116	5.2961	3.9188	4.5016	4.6958	4.1211	4.9544	5.2165	4.991	4.9662	5.4381	5.0365	4.9603	4.5451	5.1139	3.9337	5.498	4.9897	4.5742	5.6145	5.2713	4.4368	5.4018	4.824	5.8521	5.6476	4.7716	3.5825	4.3223	4.7134	5.332	5.3305	4.4999	3.4058	5.0398	4.1283	5.4611	5.2589	6.0673	4.8531	5.3443	4.6696	4.6966	5.4375	4.9789	5.0666	5.041	5.0731	4.5324	6.0857	4.253	5.1811	5.7235	5.7043	4.5868	5.3077	5.5018	4.4253	3.8308	4.9458	5.229	5.5783	4.9454	5.2086	4.7763	4.9863	5.6317	4.424	5.6686	5.7795	4.4803	5.9405	4.2288
hsa-let-7b-5p	12.919	12.176	11.5071	12.1094	11.7971	12.4252	12.4471	12.3525	13.0428	13.37	12.6526	13.0439	12.1112	12.8587	12.2278	14.8009	12.662	12.002	13.3267	14.1403	13.4064	12.8829	11.8509	11.4844	12.7239	14.9413	12.5917	13.1271	12.9378	12.8807	12.0883	13.0348	11.4474	12.849	11.9237	12.2126	12.9543	11.5885	12.2636	12.1297	12.2236	12.6517	12.6881	12.4423	12.4575	12.7441	12.9793	12.8911	11.9365	12.8877	11.2706	13.2911	12.7884	11.2908	13.27	12.4526	12.7728	12.5895	12.6891	13.203	13.2961	11.9333	11.6991	11.491	12.0544	13.3481	12.2345	12.2418	10.8855	12.6139	12.08	12.7336	13.1796	14.1489	11.6081	13.0138	12.2142	11.9166	12.5667	13.29	12.8175	12.2027	12.8016	12.7241	13.5382	12.2894	12.7757	13.8633	13.2965	13.4936	12.093	13.6277	11.47	10.9743	12.7784	13.202	12.8352	12.0083	12.6174	12.3106	12.0199	13.3358	12.1727	12.708	14.687	11.7678	13.1155	11.7548
hsa-let-7c-3p	2.11	2.2438	1.786	1.1688	1.7173	4.0659	0.9338	1.9393	0	1.4729	2.5463	3.956	1.2072	1.1423	0.7591	0.9468	1.3942	2.0712	1.3219	1.563	3.5968	2.6712	2.0323	0.7629	2.0164	2.9965	2.0357	3.8195	3.815	1.9097	2.2391	2.4901	1.6639	2.0999	2.2375	1.1841	1.4786	1.5798	3.4731	1.9416	3.455	0	2.7791	3.7494	1.4572	1.4672	3.8853	1.9028	3.0634	2.6277	1.3471	1.879	1.0659	1.7765	1.9231	1.7963	1.7431	3.7464	0.7596	1.2554	2.9394	1.393	1.8358	2.0335	1.4107	0.2221	1.3768	2.5988	3.7431	2.4172	2.4766	1.7009	3.1387	1.9865	3.2073	1.0177	1.5121	1.1416	2.2552	2.9474	1.5579	1.6527	1.2177	2.2682	2.9253	1.8403	2.183	3.375	1.207	1.82	3.1873	3.396	0.2443	3.2147	2.8089	1.4671	2.9769	1.574	1.44	2.8606	0.4448	3.5391	2.1411	4.1708	2.8382	0.9294	1.7524	2.8701
hsa-let-7c-5p	10.9262	10.1368	9.558	9.7418	9.3789	12.0453	8.8311	10.6652	8.9587	11.6486	10.8753	12.1063	9.1012	10.9208	8.7487	12.7685	10.844	9.8084	10.5947	9.8675	11.316	11.3344	8.2428	7.7877	10.4509	13.4102	11.0385	12.7497	12.35	10.6628	10.9255	11.0298	9.1716	10.9021	10.5448	9.5517	9.9292	10.0376	11.7847	10.8342	13.0174	7.5942	11.2066	11.7149	10.4129	10.4547	12.4802	11.0303	12.4989	11.5963	9.1703	11.4752	10.1591	9.2827	10.7898	10.6544	10.5227	11.8777	8.9663	8.5499	11.7154	9.8109	9.8694	10.0825	9.5718	10.3815	9.704	10.9634	12.5756	10.9649	10.4702	10.3463	12.339	11.1976	11.6283	10.3276	9.8835	9.3394	10.8045	12.2025	9.383	10.1054	10.7967	10.7716	11.7536	9.9042	10.2236	11.6399	10.9071	10.9481	10.8095	12.2762	6.8086	11.3358	12.1208	10.7537	11.8472	9.4906	10.2667	11.2188	9.2417	12.068	11.4238	12.5479	12.6668	9.1302	10.3494	10.3739
hsa-let-7d-3p	7.9489	8.8928	7.0017	8.7609	8.0206	8.2099	8.8002	7.8637	8.0104	7.6032	8.4693	8.1939	8.5211	8.2401	8.1563	10.0267	9.015	7.5062	8.5178	9.6945	7.861	8.183	8.1744	9.028	7.7644	10.8694	7.3983	8.8225	7.5635	7.8537	7.9036	8.0368	7.5443	8.104	8.5124	8.115	8.073	7.0147	7.3882	7.7543	8.2276	8.1706	8.3987	8.6943	8.2017	8.005	7.9205	8.2769	9.1342	8.354	7.1778	8.6779	7.9694	7.261	8.5534	7.728	8.6803	8.0781	7.8907	8.2891	7.8094	8.6017	8.0325	7.9273	7.7965	9.1087	7.7703	8.6408	7.6647	7.5446	7.9765	7.8589	8.3088	8.5548	8.1475	7.93	7.2364	7.7416	7.5776	8.1239	9.349	7.4237	7.8103	7.4999	8.1211	7.9828	8.1371	8.2275	7.7201	9.4513	9.2088	8.6279	8.2946	6.3063	8.3577	8.5019	8.4433	7.3513	8.4017	7.9717	8.0704	8.2374	8.1803	8.9402	9.9473	7.6155	7.6039	7.5391
hsa-let-7d-5p	11.6479	12.4176	10.4595	12.4213	11.4287	11.452	12.5098	11.6122	11.5035	11.7301	12.0903	11.7633	12.2935	11.6028	11.7246	13.0879	12.2108	10.7864	12.4162	12.427	11.8446	11.9722	12.1268	12.9297	11.347	13.5847	11.6313	12.7722	10.9227	11.5477	11.76	11.6105	10.6061	11.5773	11.76	11.5064	11.8396	10.6515	11.376	11.1731	12.3937	12.017	12.1518	12.0334	11.5635	11.237	11.9736	11.9832	12.6199	11.4484	10.9552	12.5968	11.2481	10.6346	12.2486	11.1924	11.9345	11.7201	11.3568	11.3239	11.8275	11.752	11.7528	11.6862	11.0623	12.3357	10.9531	12.3228	11.3332	11.3004	11.8043	11.9644	12.2145	12.3341	11.388	11.1382	10.7859	11.0391	10.7311	11.9398	12.4611	10.8005	11.6637	11.7141	12.0015	11.1672	11.3622	12.0461	11.6447	12.8707	11.824	12.3497	11.3663	9.8722	11.8217	12.5896	11.9151	10.6181	11.2117	11.5599	11.9082	11.7939	11.6702	11.9861	13.084	10.8409	10.9443	10.5758
hsa-let-7e-3p	4.6044	2.6076	2.9014	3.9209	3.0292	4.1984	2.2145	3.2488	3.0281	4.3754	3.6552	3.7977	3.52	4.9345	2.8543	3.7573	3.5172	2.6749	3.7004	4.6687	2.5252	3.3419	2.5832	3.7346	3.4058	3.3949	4.2293	4.149	3.3356	3.3338	3.4896	3.3019	2.5408	4.0085	2.5305	2.5173	2.4508	3.6135	4.1627	1.6716	3.6847	1.8983	3.8905	4.1957	3.4061	3.7861	3.8613	3.5351	3.6292	3.9531	2.7218	4.5365	3.9712	3.5475	3.4526	3.5927	3.2641	3.544	4.1722	4.3764	4.1044	3.1433	2.2082	2.754	3.3225	2.8396	2.6949	3.0873	6.3571	2.9999	3.2282	3.6481	4.3297	4.4878	2.7474	4.0027	3.2696	3.1442	2.9804	3.9651	3.0038	3.3465	3.2383	4.1187	4.3373	3.3724	4.2152	3.2129	3.0257	3.6601	4.7689	3.6463	1.0754	3.5854	2.9983	3.1604	3.7811	3.1797	2.7576	3.9648	2.3655	3.4929	2.6621	3.8324	4.4128	3.7165	3.5065	3.7954
